Actor,MoviesNumber
Keanu Reeves,7
Carrie-Anne Moss,3
Laurence Fishburne,3
Hugo Weaving,5
Emil Eifrem,1
Charlize Theron,2
Al Pacino,1
Tom Cruise,3
Jack Nicholson,5
Demi Moore,1
Kevin Bacon,3
Kiefer Sutherland,2
Noah Wyle,1
Cuba Gooding Jr.,4
Kevin Pollak,1
J.T. Walsh,2
James Marshall,1
Christopher Guest,1
Aaron Sorkin,1
Kelly McGillis,1
Val Kilmer,1
Anthony Edwards,1
Tom Skerritt,1
Meg Ryan,5
Renee Zellweger,1
Kelly Preston,1
Jerry O'Connell,2
Jay Mohr,1
Bonnie Hunt,2
Regina King,1
Jonathan Lipnicki,1
River Phoenix,1
Corey Feldman,1
Wil Wheaton,1
John Cusack,1
Marshall Bell,2
Helen Hunt,3
Greg Kinnear,2
Annabella Sciorra,1
Max von Sydow,2
Werner Herzog,1
Robin Williams,3
Ethan Hawke,1
Rick Yune,2
James Cromwell,2
Parker Posey,1
Dave Chappelle,1
Steve Zahn,2
Tom Hanks,12
Rita Wilson,1
Bill Pullman,1
Victor Garber,1
Rosie O'Donnell,2
Nathan Lane,2
Billy Crystal,1
Carrie Fisher,1
Bruno Kirby,1
Liv Tyler,1
Brooke Langton,1
Gene Hackman,3
Orlando Jones,1
Christian Bale,1
Zach Grenier,2
Richard Harris,1
Clint Eastwood,1
Takeshi Kitano,1
Dina Meyer,1
Ice-T,1
Halle Berry,1
Jim Broadbent,1
Ian McKellen,1
Audrey Tautou,1
Paul Bettany,1
Natalie Portman,1
Stephen Rea,1
John Hurt,1
Ben Miles,3
Emile Hirsch,1
John Goodman,1
Susan Sarandon,1
Matthew Fox,1
Christina Ricci,1
Rain,2
Naomie Harris,1
Michael Clarke Duncan,1
David Morse,1
Sam Rockwell,2
Gary Sinise,2
Patricia Clarkson,1
Frank Langella,1
Michael Sheen,1
Oliver Platt,2
Danny DeVito,2
John C. Reilly,1
Ed Harris,1
Bill Paxton,3
Philip Seymour Hoffman,2
Diane Keaton,1
Julia Roberts,1
Madonna,1
Geena Davis,1
Lori Petty,1
