road,distance
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
"[{""name"":Darjeeling},{""name"":Darjeeling-Tumbling,""winter"":true,""distance"":10,""summer"":false},{""name"":Tumbling},{""name"":Tumbling},{""name"":Tumbling-Gairibus,""winter"":true,""distance"":8,""summer"":true},{""name"":Gairibus},{""name"":Gairibus},{""name"":Gairibus-BhikeBhanja,""winter"":true,""distance"":10,""summer"":true},{""name"":BhikeBhanja},{""name"":BhikeBhanja},{""name"":BhikeBhanja-Sandakphu,""winter"":true,""distance"":4,""summer"":true},{""name"":Sandakphu,""altitude"":12400 ft}]",32
