Airport,FlightsNumber
"{""name"":SAT}",1
"{""name"":FLL}",1
"{""name"":KOA}",1
"{""name"":SMF}",1
"{""name"":RIC}",1
"{""name"":IND}",1
"{""name"":MCI}",1
"{""name"":MSN}",1
"{""name"":BIL}",1
"{""name"":ROC}",1
"{""name"":CLT}",1
"{""name"":DCA}",1
"{""name"":PBI}",1
"{""name"":MIA}",1
"{""name"":MOB}",1
"{""name"":SNA}",2
"{""name"":LAS}",2
"{""name"":ATL}",2
"{""name"":CMH}",2
"{""name"":SJC}",2
"{""name"":LGA}",2
"{""name"":TUS}",2
"{""name"":SEA}",3
"{""name"":PHX}",3
"{""name"":SBN}",3
"{""name"":MCO}",4
"{""name"":PDX}",4
"{""name"":BOS}",4
"{""name"":DFW}",4
"{""name"":SAN}",4
"{""name"":BHM}",4
"{""name"":CVG}",4
"{""name"":ABQ}",4
"{""name"":FAT}",4
"{""name"":DLH}",4
"{""name"":SLC}",5
"{""name"":HNL}",5
"{""name"":FSD}",5
"{""name"":EWR}",7
"{""name"":MOT}",8
"{""name"":MSP}",9
"{""name"":IAD}",12
"{""name"":BNA}",12
"{""name"":AZO}",13
"{""name"":SFO}",14
"{""name"":DEN}",18
"{""name"":LAX}",22
"{""name"":IAH}",23
"{""name"":DTW}",25
"{""name"":ORD}",48
